,symbol,Sector
0,HWM,Non-Energy Materials
1,AACE,Finance
2,AAME,Finance
3,AAPL,Technology
4,ABAX,Healthcare
5,ARCB,Industrials
6,ABIX,Industrials
7,ABM,Business Services
8,ABMD,Healthcare
9,SERV,Industrials
10,ABS,
11,ABT,Healthcare
12,ADSK,Technology
13,ACAT,Consumer Cyclicals
14,TAP,Consumer Non-Cyclicals
15,ACET,Healthcare
16,ACF,Finance
17,ACI,Energy
18,ACMT_A,Finance
19,ACO,Non-Energy Materials
20,IEP,Finance
21,ACR,Healthcare
22,ACU,Consumer Cyclicals
23,ACV,Consumer Non-Cyclicals
24,RAMP,Technology
25,ACY,Finance
26,ADBE,Technology
27,ADCT,Technology
28,AEY,Technology
29,ADI,Technology
30,ADM,Consumer Non-Cyclicals
31,SXCL,Consumer Non-Cyclicals
32,AD,Business Services
33,BIW,Utilities
34,AE,Energy
35,AEP,Utilities
36,AEPI,
37,AERT,Non-Energy Materials
38,AES,Utilities
39,AFPC,Healthcare
40,AGCO,Industrials
41,ATPL,Non-Energy Materials
42,AGL,Business Services
43,AGN,Healthcare
44,AM,Consumer Cyclicals
45,HES,
46,AHPI,Healthcare
47,AIN,Industrials
48,AIR,Industrials
49,AMPL,Finance
50,AJG,Finance
51,AKRX,Healthcare
52,ALCO,Consumer Non-Cyclicals
53,MATX,
54,ALGI,Consumer Non-Cyclicals
55,ALK,Industrials
56,ALKS,Healthcare
57,ALLP,Healthcare
58,ALOG,Healthcare
59,ALOT,Technology
60,SYI,Healthcare
61,ALTR,Technology
62,ALX,Finance
63,AMAC,Technology
64,AMAT,Technology
65,BEAM,Technology
66,ALRN,Healthcare
67,AMD,Technology
68,AME,Industrials
69,TWX,Consumer Services
70,AVD,Non-Energy Materials
71,AMGN,Healthcare
72,TVTY,Healthcare
73,AMK,Technology
74,AMLN,Healthcare
75,AMN,Non-Energy Materials
76,AMPH,Finance
77,AAMRQ,Industrials
78,AMS,Healthcare
79,AMSC,Industrials
80,AMSW_A,Technology
81,AMWD,Consumer Cyclicals
82,AN,Consumer Cyclicals
83,MOCC,Telecommunications
84,ANDW,Technology
85,ANEN,Technology
86,ANLT,Energy
87,ANLY,Technology
88,ANN,Consumer Cyclicals
89,AORGB,Technology
90,AP,
91,APA,Energy
92,APAG_F,Energy
93,CLFD,Technology
94,APC,Energy
95,APCC,Industrials
96,APD,Non-Energy Materials
97,APFC,Non-Energy Materials
98,APH,Technology
99,APHT,Healthcare
100,API,Technology
101,APOG,Non-Energy Materials
102,APPB,Consumer Services
103,EPAC,
104,ARDN_A,Consumer Non-Cyclicals
105,AIRM,Healthcare
106,ARG,Non-Energy Materials
107,AAN,Consumer Cyclicals
108,ARRO,Healthcare
109,ARTG,Technology
110,ARTW,Industrials
111,ARW,Technology
112,ARXX,Technology
113,ASEI,Technology
114,ASGN,Healthcare
115,ASGR,Healthcare
116,ASH,Industrials
117,ASN,Finance
118,AIM,Industrials
119,ASTE,Industrials
120,AT,Telecommunications
121,GAS,Utilities
122,OA,Industrials
123,ATML,Technology
124,ATNI,Telecommunications
125,ATO,Utilities
126,ATRO,
127,ATSI,Healthcare
128,ATW,Energy
129,ATX,Consumer Cyclicals
130,ADP,Business Services
131,AULT,
132,AMAG,Healthcare
133,AVP,Consumer Non-Cyclicals
134,AVT,Technology
135,AVHI,Finance
136,AVY,Non-Energy Materials
137,AW,Business Services
138,AXAS,Energy
139,AXR,Business Services
140,AZO,Consumer Cyclicals
141,AZZ,Industrials
142,AZR,Consumer Services
143,B,Non-Energy Materials
144,BA,Industrials
145,BAMM,Consumer Cyclicals
146,BAX,
147,BBA,Consumer Cyclicals
148,BBBY,Consumer Cyclicals
149,BBY,Consumer Cyclicals
150,BC,Consumer Cyclicals
151,OMX,Consumer Cyclicals
152,BCF,
153,BCR,Healthcare
154,BDG,Consumer Cyclicals
155,BDK,Industrials
156,BDL,Consumer Services
157,BDX,Healthcare
158,BEAV,Industrials
159,BEC,Healthcare
160,BEN,
161,BEV,Healthcare
162,BEZ,Industrials
163,BF_B,Consumer Non-Cyclicals
164,BGG,Industrials
165,BHE,Technology
166,BI,Technology
167,BID,Consumer Cyclicals
168,BIO,Healthcare
169,CASC,Healthcare
170,BIOC,Healthcare
171,BJS,Energy
172,BKH,Utilities
173,BKE,Consumer Cyclicals
174,BKR,Industrials
175,BL,Consumer Non-Cyclicals
176,BLC,Consumer Services
177,BCPC,Non-Energy Materials
178,BLD,Technology
179,CNR,Finance
180,BLL,Non-Energy Materials
181,BLS,Telecommunications
182,BLSC,Healthcare
183,BLUD,Healthcare
184,BMC,Technology
185,ALO,Healthcare
186,BMET,
187,BMI,Industrials
188,BMS,Non-Energy Materials
